"Time","GMSL (mm)","GMSL uncertainty (mm)"
1880, -157.1,   24.2
1881, -151.5,   24.2
1882, -168.3,   23.0
1883, -163.0,   22.8
1884, -142.1,   22.2
1885, -143.6,   21.9
1886, -146.0,   20.8
1887, -151.6,   20.8
1888, -149.5,   20.8
1889, -147.9,   20.8
1890, -145.9,   20.7
1891, -147.6,   20.7
1892, -144.4,   20.7
1893, -139.7,   20.3
1894, -149.4,   21.6
1895, -137.6,   21.6
1896, -145.2,   21.2
1897, -140.0,   20.8
1898, -130.6,   19.7
1899, -123.1,   19.4
1900, -128.5,   18.3
1901, -128.9,   17.6
1902, -124.3,   17.3
1903, -116.3,   17.0
1904, -126.6,   16.9
1905, -132.1,   15.4
1906, -125.3,   14.7
1907, -126.7,   14.9
1908, -129.2,   14.5
1909, -124.7,   14.6
1910, -124.8,   14.6
1911, -116.5,   14.2
1912, -119.6,   14.2
1913, -117.8,   14.1
1914, -111.5,   13.8
1915, -103.6,   13.6
1916, -105.5,   13.0
1917, -110.0,   12.8
1918, -111.6,   12.7
1919, -110.0,   12.7
1920, -108.7,   13.0
1921, -106.6,   13.1
1922, -107.5,   13.2
1923, -106.3,   13.0
1924, -113.6,   13.1
1925, -111.6,   13.6
1926, -105.1,   13.7
1927, -106.2,   12.9
1928, -110.1,   12.3
1929, -108.7,   12.1
1930, -104.7,   12.0
1931, -105.1,   12.2
1932,  -99.4,   11.9
1933,  -95.1,   11.8
1934, -100.5,   11.9
1935,  -94.9,   11.9
1936,  -98.8,   11.8
1937,  -93.1,   11.8
1938,  -90.5,   11.8
1939,  -85.3,   12.2
1940,  -90.6,   11.1
1941,  -78.4,   10.8
1942,  -78.4,   10.8
1943,  -78.4,   10.8
1944,  -84.8,   10.7
1945,  -82.0,   10.7
1946,  -74.5,   10.6
1947,  -71.4,    9.6
1948,  -66.6,    9.3
1949,  -67.9,    8.4
1950,  -65.7,    7.9
1951,  -56.2,    7.8
1952,  -58.8,    7.7
1953,  -54.4,    7.5
1954,  -57.3,    7.3
1955,  -56.4,    7.1
1956,  -61.5,    7.0
1957,  -48.1,    6.9
1958,  -46.7,    6.6
1959,  -46.4,    6.5
1960,  -42.7,    6.6
1961,  -36.5,    6.6
1962,  -41.7,    6.6
1963,  -43.3,    6.6
1964,  -51.2,    6.7
1965,  -40.0,    6.7
1966,  -45.4,    6.6
1967,  -44.0,    6.5
1968,  -43.2,    6.7
1969,  -36.4,    7.0
1970,  -38.3,    7.0
1971,  -33.1,    6.9
1972,  -24.0,    6.9
1973,  -30.0,    6.8
1974,  -18.1,    6.8
1975,  -19.7,    6.7
1976,  -20.7,    6.8
1977,  -22.4,    6.6
1978,  -16.0,    6.7
1979,  -20.9,    6.7
1980,  -14.9,    6.5
1981,   -2.5,    6.5
1982,   -8.3,    6.3
1983,    0.1,    6.5
1984,   -0.8,    6.3
1985,  -11.1,    6.3
1986,  -10.5,    6.3
1987,   -9.9,    6.2
1988,   -5.2,    6.3
1989,   -0.7,    6.4
1990,    0.7,    6.3
1991,    3.8,    6.3
1992,    6.6,    6.4
1993,    2.1,    6.4
1994,    5.5,    6.4
1995,   10.7,    6.4
1996,   14.4,    6.4
1997,   22.6,    6.5
1998,   15.0,    6.6
1999,   21.7,    6.7
2000,   22.6,    6.6
2001,   27.1,    6.5
2002,   26.1,    6.7
2003,   35.1,    6.9
2004,   34.5,    7.2
2005,   34.1,    7.3
2006,   35.6,    7.4
2007,   39.1,    8.0
2008,   49.0,    8.4
2009,   55.5,    8.8
2010,   54.7,    7.3
2011,   54.8,    7.1
2012,   51.6,    6.9
2013,   62.2,    7.6
2014,   66.2,    8.1
2015,   72.3,    8.2
2016,   71.8,    8.4
2017,   72.4,    7.8
2018,   70.5,    7.6
2019,   76.1,    7.4
2020,   84.2,    7.5
